Validation,ID,Submission,interwiever_name,type_interview,donor,pdmtype,office,unique_number,not_loc,ben_det_oblast,ben_det_raion,ben_det_hromada,gps_coordinates,not_mpca,not_cash_for_rent,not_cash_for_repair,agree_interviewed,age,sex,status_person,how_many_family,family,did_receive_cash,did_receive_cash_no,cash_repair_type,cash_repair_type_other,register_receive,register_receive_other,assistance_delivered,assistance_delivered_other,satisfied_process,satisfied_process_no,satisfied_cash_amount,how_much_money,how_much_money_yes,time_registered_assistance,experience_problems,experience_problems_yes,assistance_delivered_other_001,know_people_needing,know_people_needing_yes,organization_provide_information,better_inform_distribution,better_inform_distribution_other,rate_quality_assistance,rate_quality_assistance_dis,sectors_cash_assistance,sectors_cash_assistance_other,sectors_cash_assistance_food,sectors_cash_assistance_clothing,sectors_cash_assistance_utilities_heating,sectors_cash_assistance_healthcare,sectors_cash_assistance_hygiene_items,receive_additional,rent_benefit,rent_benefit_no,access_adequate_housing,improve_living,improve_living_other,spent_cash_assistance,spent_cash_assistance_yes,spent_cash_assistance_rent,money_received,money_received_other,assistance_enough,assistance_enough_no,assistance_other_repairs,assistance_other_repairs_yes,assistance_other_repairs_rate,brochure_provided,basic_needs_priorities,living_conditions_interventions,living_conditions_interventions_no,who_assisted,who_assisted_other,issues_regarding_repaired,issues_regarding_repaired_yes,shelter_assistance_return,shelter_assistance_return_no,planning_staying_repaired,planning_staying_repaired_other,planning_staying_repaired_no,square_metres,dwelling_water_proof,access_running_water,access_hot_water,access_washing_facilities,access_sanitation_facilities,access_heating,property_draft_proofing,property_adequately_insulated,property_double_glazed_windows,formal_agreement_landlord,access_external_locked,access-private_space,current_living_space,household_currently_have_clothing,two_weeks_household,receive_shelter_assistance,receive_shelter_assistance_no,needs_community_currently,needs_community_currently_other,any_member_household,any_member_household_yes,provide_someone_commission,provide_someone_commission_yes,provide_someone_commission_yes_other,feel_safe_travelling,feel_safe_travelling_bad,feel_treated_respect,know_address_suggestions,know_address_suggestions_yes,know_address_suggestions_yes_ndnp,know_address_suggestions_yes_ndnp_other,know_address_suggestions_no,know_address_suggestions_no_other,submitted_feedback_complaint,feedback_reporting_channels,feedback_reporting_channels_other,comment,not_thank
,485453681,9/29/2023 4:05:03 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,507858217,,khersonska,khersonskyi,khersonska_2,,,,,yes,43,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,поки не витрачали,no,"витрат багато, будинок під знос",no,,,no,,pino,"нічого не робили із за бойових дій, будинок під знос",wanb,,no,,,,other,"будинок під знос, мешкаємо у знайомих",,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485447427,9/29/2023 3:55:40 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,673857198,,khersonska,khersonskyi,,,,,,yes,42,female,yesidp,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,На очищення будинку від наслідків затоплення.,no,"Наш будинок підлягає під знесення, нам потрібно набагато більше коштів, щоб побудувати новий будинок.",no,,,no,,piys,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdk,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485447079,9/29/2023 3:55:04 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,688235190,,khersonska,khersonskyi,khersonska_2,,,,,yes,72,female,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,other,"зауважень не має, все добре",rtvs,,,,,,,,,,,,,,,,,,other,"будівельні матеріали, ліки",yes,,yes,ліки,rnct,no,,piys,,other,родина допомогала,no,,,,other,"поки житло не придатне до житла, мешкаємо у родичей",,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485444968,9/29/2023 3:50:05 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,994303884,,khersonska,khersonskyi,,,,,,yes,74,male,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще не витрачали.,no,"Будинок потрібно повністю ремонтувати,  наданих коштів нам не достатньо.",no,,,no,,pino,Ми не проводили ремонтні роботи.,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tphs | tpre | other,Предмети гігієни для догляду за сином інвалідом.,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485442415,9/29/2023 3:43:20 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,668973443,,khersonska,khersonskyi,khersonska_2,,,,,yes,65,female,yescap,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,оренда житла,yes,,yes,оренда житла,rnfs,no,,piys,,other,"родиною та з волонтерами розгрібали сміття, виносили речі з житла",no,,,,other,"влвсний будинок непридатний до житла, орендуємо житло",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485438601,9/29/2023 3:34:44 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,507722260,,khersonska,khersonskyi,,,,,,yes,37,female,yescap,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Ремонт у кухні.,no,Нам не вистачило коштів на всеь ремонт.,no,,,yes,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphe | tphs | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485436119,9/29/2023 3:28:26 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,973400016,,khersonska,khersonskyi,,,,,,yes,40,male,yescap,1,1,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trow,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Побутова техніка,no,"В будинку потрібно робити капітальний ремонт, у нас не вистачає на це коштів.",yes,Ліки,rnct,dnb,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tpcs | tphs,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485435102,9/29/2023 3:26:06 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,506685785,,khersonska,khersonskyi,khersonska_2,,,,,yes,54,female,yescap,2,2,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trlw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,будівельні матеріали,yes,,no,,,dnb,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485432833,9/29/2023 3:20:44 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,509867714,,khersonska,khersonskyi,,,,,,yes,57,male,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbcd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не робили.,no,"Наш будинок сильно постраждав від затоплення. Нам потрібно зробити капітальний ремонт, але коштів для цього нам не вистачає.",yes,На їжу.,rntf,no,,pino,Ще ніяких ремонтних робіт не проводили.,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpdw | tpcs | other,Корм для тварин.,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485432352,9/29/2023 3:19:29 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,953825828,,khersonska,khersonskyi,khersonska_2,,,,,yes,57,female,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Бережемо гроші. Зараз ремонт не можливий,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485431773,9/29/2023 3:18:05 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,953105033,,khersonska,khersonskyi,khersonska_2,,,,,yes,42,female,yescap,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,поки не витрачали,yes,,no,,,no,,pino,"поки нічого не робили, будинок не придатний до житла, чекаємо комісію, також заважають щось робити бойові дії",other,волонтери та миз родиною розібрали сміття,no,,,,other,"непридатний до житла, мешкаємо в іншій оселі",,,,,,,,,,,,,,,,,,rsca,,tphi | tphs | tpre,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfpf,,,,smna,cnbp,,,
,485430396,9/29/2023 3:14:18 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,956355785,,khersonska,khersonskyi,,,,,,yes,47,male,yesidp,3,3,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не робили.,no,На капітальний ремонт будинку нам коштів не вистачає.,no,,,yes,,pino,Ще нічого не робили.,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tphe | tpsp,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485430048,9/29/2023 3:13:07 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,957045230,,khersonska,khersonskyi,khersonska_2,,,,,yes,58,female,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Поки не витрачено. Бойові дії,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485426973,9/29/2023 3:04:34 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,953766822,,khersonska,khersonskyi,,,,,,yes,54,female,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,На очищення та просушування нашого дому.,yes,,no,,,yes,,piym,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tpcs | tpht,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485424980,9/29/2023 2:59:44 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,968062635,,khersonska,khersonskyi,,,,,,yes,55,female,yesidp,4,4,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Очищення та дезінфекція будинку після затоплення.,no,На всі ремонтні роботи нам не вистачає грошей.,no,,,no,,piys,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpfo | tpdw | tpcs,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485424820,9/29/2023 2:59:17 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,661281125,,khersonska,khersonskyi,khersonska_2,,,,,yes,74,male,yescap,3,3,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trow,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Ще нічого не витрачено,yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485419054,9/29/2023 2:45:30 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,668147101,,khersonska,khersonskyi,khersonska_2,,,,,yes,38,female,yescap,4,4,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,"оренда житла, ліки",no,багато витрат,yes,"оренда житла, ліки",rnfs,dnb,,pino,"житло зруйновано, нічого не робили із за бойових дій, дуже небезпечно",wanb,,no,,,,other,"житло зруйновано, орендуємо інше житло",,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485418708,9/29/2023 2:44:19 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,987938038,,khersonska,khersonskyi,,,,,,yes,40,male,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,yes,pbrl,,ndna,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,Частково закупили будівельні матеріали на відбудову стін та даху.,no,На повне відновлення будинку нам не вистачає коштів.,no,,,dnb,,piys,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tpcs | tput,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485417868,9/29/2023 2:41:52 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,956826852,,khersonska,khersonskyi,khersonska_2,,,,,yes,62,female,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,"Використати гроші не можемо, бо там ідуть бойові дії",yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485414523,9/29/2023 2:33:21 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,501528554,,khersonska,khersonskyi,,,,,,yes,52,female,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trow,no,,,nddk,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Електропроводка,no,"На ремонт будинку нам потрібно більше коштів, ніж у нас є.",no,,,no,,piys,,wahd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tput | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485413011,9/29/2023 2:29:12 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,681178643,,khersonska,khersonskyi,khersonska_2,,,,,yes,57,female,yescap,3,3,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbtd,,rtvs,,,,,,,,,,,,,,,,,,other,поки не витрачала,yes,,no,,,dnb,,pino,"житло пошкоджено, поки нічого не робили із за бойових дій",wanb,,no,,,,other,"житло пошкоджено, мешкає у сина",,,,,,,,,,,,,,,,,,rsca,,tphs | tpre | tput,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485412590,9/29/2023 2:28:10 PM,Олексій,remote,Danish MFA UKR-000301,carep,mykolaiv,509174219,,khersonska,khersonskyi,khersonska_2,,,,,yes,65,male,yescap,2,2,yes,,rphr,,rrip,,asba,,ndyl,,yes,yes,rets,trtw,no,,,ndnn,,yes,dbbd,,rtvs,,,,,,,,,,,,,,,,,,other,"Ремонт поки що неможливий, там мокро і стріляють",yes,,no,,,no,,pina,,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsmc,,tpdk,,no,,no,,,rcyc,,rcyc,yes,pvnp,pfnp,,,,smna,cnbp,,,
,485409388,9/29/2023 2:19:08 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,505630331,,khersonska,khersonskyi,khersonska_2,,,,,yes,80,female,yescap,3,3,yes,,rphr,,rrbp,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,будівельні матеріали,yes,,no,,,no,,piys,,wacd,,no,,yes,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,Опитування проводилось з 50 річною донькою бенефіціара,
,485408167,9/29/2023 2:15:14 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,955058616,,khersonska,khersonskyi,,,,,,yes,54,male,yesidp,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trow,yes,other,"Помилка у документах, неправильно записали прізвище.",nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,Нічого не витрачав.,no,"У будинку потрібно робити капітальний ремонт, наданих коштів недостатньо для цього.",no,,,no,,pino,Ремонтні роботи ще не проводились.,wanb,,no,,,,yes,,,,,,,,,,,,,,,,,,,rsca,,tphe | tput,,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
,485405222,9/29/2023 2:07:21 PM,Тетяна,remote,Danish MFA UKR-000301,carep,mykolaiv,953279821,,khersonska,khersonskyi,khersonska_2,,,,,yes,61,male,yescap,0,,yes,,rphr,,rrip,,asca,,ndyl,,yes,yes,rets,trtw,no,,,nddk,,yes,dbad,,rtvs,,,,,,,,,,,,,,,,,,other,нічого не витрачал,no,"будинок повністю зруйнован, витрат багато",no,,,no,,pino,будинок повністю зруйнован,wanb,,no,,,,other,"будинок повністю зруйнован, живу в іншому будинку",,,,,,,,,,,,,,,,,,rsca,,tphi | tpre | tptr,,no,,no,,,rcyc,,rcyc,no,,,,nknk,,,cnbp,,,
,485404087,9/29/2023 2:03:52 PM,Марина,remote,Danish MFA UKR-000301,carep,mykolaiv,955041404,,khersonska,khersonskyi,,,,,,yes,76,female,yesidp,2,2,yes,,rphr,,rrip,,asca,,ndyl,,yes,no,,trow,no,,,ndnn,,yes,dbdd,,rtvs,,,,,,,,,,,,,,,,,,other,Очищення будинку після затоплення.,no,"Нам потрібно ремонтувати стіни, дах, вікна. Виділеної допомоги для цього нам не вистачило.",no,,,no,,piys,,wahd,,no,,no,Будинок потребує капітального ремонту.,yes,,,,,,,,,,,,,,,,,,,rsca,,tpfo | tpdw | other,Побутова техніка.,no,,no,,,rcyc,,rcyc,no,,,,nkhb,,,cnbp,,,
